~	~	~ NEW DAY ENTERED ~	~	~
~	~	~ ~~ 3/20/2018 ~~ ~	~	~
*
*
  LOG ____ || ____ 1:41 AM ____ || ____ 
*
*
  LOG ____ || ____ 1:41 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 1:41 AM ____ || ____ Writing 10x10 tiles took 0.0545066 seconds ____ || ____  
  LOG ____ || ____ 1:45 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 1:45 AM ____ || ____ Reading 10x10 tiles took 0.0050024 seconds ____ || ____ 
  LOG ____ || ____ 1:50 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 1:50 AM ____ || ____ Writing 25x25 tiles took 0.0375066 seconds ____ || ____ 
  LOG ____ || ____ 1:51 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 1:51 AM ____ || ____ Writing 25x25 tiles took 0.017 seconds ____ || ____ 
  LOG ____ || ____ 1:51 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 1:51 AM ____ || ____ Reading 25x25 tiles took 0.0120013 seconds ____ || ____ 
  LOG ____ || ____ 2:49 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 2:49 AM ____ || ____ Writing 250x250 tiles took 0.29257 seconds ____ || ____ 
  LOG ____ || ____ 2:49 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 2:50 AM ____ || ____ Writing 2500x2500 tiles took 26.81437 seconds ____ || ____ 
  LOG ____ || ____ 2:51 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 2:51 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 2:51 AM ____ || ____ Writing 500x500 tiles took 1.1926515 seconds ____ || ____  - 2d array
  LOG ____ || ____ 2:52 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 2:52 AM ____ || ____ Reading 500x500 tiles took 3.2734503 seconds ____ || ____ 
  LOG ____ || ____ 3:02 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 3:04 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 3:04 AM ____ || ____ Writing 500x500 tiles took 2.4715299 seconds ____ || ____  - HASH TABLE
  LOG ____ || ____ 3:04 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 3:05 AM ____ || ____ Reading 500x500 tiles took 9.4216143 seconds ____ || ____ 
  LOG ____ || ____ 3:06 AM ____ || ____ Game Started ____ || ____ 
  LOG ____ || ____ 3:08 AM ____ || ____ Reading 500x500 tiles took 86.821573 seconds ____ || ____ 
